央视频道,#genre#
CCTV1综合,http://play.kankanlive.com/live/1698234869325962.m3u8
CCTV2财经,http://pull-hs-f5.flive.douyincdn.com/media/stream-119931326014423724/index.m3u8?expire=1789174447&sign=91bfa9e506fffc18dc0bd0a612d69845&volcSecret=91bfa9e506fffc18dc0bd0a612d69845&volcTime=1789174447&exp_hrchy=w1&arch_hrchy=w1&major_anchor_level=common&t_id=037-20260905085406040FBC3B9E5C92053678-ZgFB9u
CCTV3综艺,http://txycdn.video.qq.com/1370781403.m3u8?time=1788602959&from=player&cdn=tcloud&sdtfrom=v401010931632&platform=4010603&butype=31&HLSP2P=1&vkey=nvkey_AQQgID2H4SOBbkE5Tpvjmoof6FsjlZslHH5h_Foi_Wj6wtg-EHH38cLcd24rnFJrq0DD9wkBcPH_3RS0uzvhPmdGC3uSuA-kTBYfBsS8Sld7s79q9RJ51o1hm1_iecy8w3KR9nprk5dQ4IvBxX8jhfMn2XjSJCnxP3ncWavKviGv_JoMdMNfqWYY-dLgadUkFLds6U1zQwqAe7TfJRHAWVQL1U70yXlK9Gz_JMaAvW07-wjdp-hYg5wCGCI_IanM4iilmF3e-wkr4f8bTtcLpJTnaKkVY8QQjH40n419Arjw4zH-UbDCbfI5A2hDjUlc8qUFeDV-Ch7BB3gQlppSqxSvVWePSldeos3pcRNK6M9o7xRGSfkfCqPPwX8_6jRRRh6xnDD1bYLVmNxNmVV74T03V-XF3VY1oKZl9JmcnR0ZTbPFISlYh1znCmZbGGutw86qvVrna-acAnPudtXSoXNp39RTXmDgPeODlRFY6_1fIvph_z_0aVj5wXtoAL_iRt3SbrqUJJyug6E65lhRcsWw5C0GCCSpesDC4iuPo53UrqaQilS1&drmtype=0
CCTV5体育,http://txycdn.video.qq.com/1369718503.m3u8?time=1788602938&from=player&cdn=tcloud&sdtfrom=v401010931632&platform=4010603&butype=31&HLSP2P=1&vkey=nvkey_AQQgIIE-XxyQ-Bv1Vm0PG6bfLuHWTaZdm9ho9xAzEc6f4cx6EBDGbIAfhN7FWp6Z8ygnHScBcAjFvaf9xiAVGR64cdrK-5-imrPl9ac2--RUeCUQC_DWcUKPxlPq-ZSISAPjB5SO3TpgrqKvLKeWA3QJRFB37n9sFDXltOFXjdyopZ1ybIF5bFJVpDE08489OPXaG5G1qbN_rihDCBGI1smkv6l-_PqgU7qxBEgfPkXgo4BDv84B0KuAZki-Bjnfq4KeNSqoLZ48PtzD5_tqtKA_FCc5GRt3aUPnV58GLW-UGsfiMfaw1r0nz_kOfc7-U3TcQSp_cMzu0tUBlrfTR30lEzgROGykW9RhLAWRhPQVWxOk1dePP6SUuCjpDMq_gzr-90QEa9LG8rTdAsdX2ZxQCemxmVFoDFqhbK9TUQ83ga4vEB1IUszN4KzLoL2-tLSmr24TQOiv5XtbYEAZmcUE0o5tgQCBP8qRmuCxxYs1R-Aqfayh0UIcCaeRk3avyTvDWS6deG_Isd5cofkdR-psSflQjY_VKvJmycSWjBTD133P5wBr&drmtype=0
CCTV6电影,http://txycdn.video.qq.com/1755771403.m3u8?time=1788602928&from=player&cdn=tcloud&sdtfrom=v401010931632&platform=4010603&butype=31&HLSP2P=1&vkey=nvkey_AQQgIKAnfnkDfH78lDZbXM4NBSQhjxkwB5zhNULXC_lX0iuOEEpN6FCfcgr_F3rO5KF7eeoBcD3gnrV3mqpz6-LDaikGslQsdd87F0hj_q42vjSOrvCnFHcEwC7UE_QlgNVcHU8pXC6ITFopFnYRCTinYCGPJj-hfFREKie3eTV6tSeqvtwThUhmnlCDDCNuoZm3KxDXdQv2gUFavKUfW14IC4SHU5RrXe5n3b8Q658Ws68Fi8qrmLab3RrK51SZNXfAEWuBplG2cF_vY8S71BA8YT4ZLWfWu8yx7H6bYtck1q8TXfWHPGad7I2rL0icic5Sec3lkdfyrdWag8AbAXZ81-wmUr05x5uiV9WYDkS32XhSuwpyDOydWKtRY2CjqKYDvIcoH7Xd0_RQ4tF9odlxXPp9NGK3YFHL56BXPp8QxsjOnOa-ncpX5ONmUXcQR2aHUrdYvw4Okh8ro6qL44QQzDY90AanyblEfyMYKSaB0Jv5k90k9GRcxrvUq1vmih96sw5ysQgzPWnF8LFws9Bj_hHQk2cfT9GgDWRnrew0PvZtkkac&drmtype=0
CCTV8电视剧,http://txycdn6.video.qq.com/1370436702.m3u8?time=1788578613&cdn=txycdn&sdtfrom=v401010931632&platform=4010603&butype=31&HLSP2P=1&vkey=nvkey_AQQgIKuZZj7JZuZfZDKjf5xEvPD3E4fgjZ0ZyfUKIykcPmN9EGOZfSZbgu_okWjzteGfGPsBcCVsdyYbsZwDl5D3krOMbNO8wQHfzz2fAQrWnedUYoAtXUNfI9GUQTqhypYu4KtA1mB5_Tj_jDIL8nHRLCY7Y4HXe8PHVx31Klpv53F3Ze4k9Q0kpR4sS8igvLzCpodsryQVHtaaeQ_yv0OIuFMhiXD_R1l82AdwrSdqf7wZRVSIwVDk2LPnL8y4i8lNq8pVpCMxMEnl9_olOQXJSWxdfBrVO0shaB5hbvPMTLrxJnj4R6GkG714DNBTo4vXmpd7_poMSol7e_UVSrBCIy2WOECqHxHzsyNBY1pTw4k3Xdly0mzLrgi_u8szMczLylocVLechc4fJzsUZW4bVVPnzx3Z7E_qzKTwc7n4s9fHdmtyGkIsXTBUmVKBXBsesNzA6C0Hno2tAV7AsqHiCBwRJ5LV-DfLGjFm-9CLdKvuxNHq3AiHmciGohOKUc_iPPJ-tPXv4Sh-1-fXafBPOi5c1gkX0LqCq6ne1LDOs8wuIHAY&drmtype=0
CCTV9纪录,http://play.kankanlive.com/live/1698423397390920.m3u8
CCTV13新闻,http://pull-hs-f5.flive.douyincdn.com/media/stream-696342147108700844/index.m3u8?expire=1789174391&sign=7cb5db2eb18c55728861430d0d2d920c&volcSecret=7cb5db2eb18c55728861430d0d2d920c&volcTime=1789174391&major_anchor_level=common&exp_hrchy=w1&arch_hrchy=w1&t_id=037-20260905085310855BA998EBB6378A4ED1-FQXr3I
CCTV13新闻,http://txycdn.video.qq.com/1369932003.m3u8?time=1788602856&from=player&cdn=tcloud&sdtfrom=v401010931632&platform=4010603&butype=31&HLSP2P=1&vkey=nvkey_AQQgIE-ZC-lqcswEVGhJ52Sl6D8E2j-XG8L7nNMlFd5OOyBkECv41DKHlapwka-RAUs8apEBcHxAmn7cLpU5GmspkhI7SR9tqVrU9gGG1TQQqZRGO-B3q0Fsc6pXuSRdfYHXDFEhyHPSQIzQeLF1c8U2PrREROqbp534ICwRfo-ovAdJLT4KePVmuTGkvHb5FPJscKaNLpcaOBznuwHLv2Ux_AkZ96DZzRJPVePnNwd_glIkJcpUUxJ1jFy-GQN7MyBM8MAUEN7f87ThjW9DC0VFdphGmjAZyfuQ0bVad3na5kIco8XXMqBGK49fC-Kb0oxKGsh25iWzwTxSJFfBhFjfUOo5Sqq_apuVh2WGTggckaCUOTvW6jp_7tSyCwMrF5K7PDqymtVVbLAamb8mICOKaCeGFM52Wd1JuIj57tGFHIQ479No8oQlLB1yzljzMOigpr4Ed6M8PREqFUG9yNwCTbfoPB-31ZflTwAw1W63LKP3HlwO_ke9mdsy1qg7bp_h_CKRc0rsUpvLJYNQYPqb8vUjTDEI1U-S085CtEaF1EnQeP_-&drmtype=0
CCTV16奥林匹克,http://38.75.136.137:98/gslb/dsdqpub/cctv16hd.m3u8?auth=testpub
